

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.011  000.011: --- NVIM STARTING ---
000.161  000.150: event init
000.249  000.088: early init
000.307  000.058: locale set
000.345  000.039: init first window
000.659  000.313: inits 1
000.669  000.010: window checked
000.671  000.002: parsing arguments
001.122  000.066  000.066: require('vim.shared')
001.224  000.041  000.041: require('vim._meta')
001.226  000.101  000.060: require('vim._editor')
001.227  000.207  000.040: require('vim._init_packages')
001.228  000.350: init lua interpreter
001.283  000.055: expanding arguments
001.355  000.071: inits 2
001.611  000.256: init highlight
001.612  000.001: waiting for UI
002.563  000.951: done waiting for UI
002.572  000.008: init screen for UI
002.683  000.112: init default mappings
002.697  000.014: init default autocommands
003.876  000.055  000.055: sourcing /usr/share/nvim/runtime/ftplugin.vim
004.125  000.027  000.027: sourcing /usr/share/nvim/runtime/indent.vim
004.227  000.013  000.013: sourcing /usr/share/nvim/archlinux.vim
004.230  000.039  000.027: sourcing /etc/xdg/nvim/sysinit.vim
005.695  001.407  001.407: require('options')
005.821  000.006  000.006: require('vim.keymap')
005.947  000.247  000.241: require('mappings')
006.317  000.219  000.219: require('catppuccin')
007.948  001.862  001.643: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/catppuccin/colors/catppuccin.vim
007.965  002.017  000.155: require('colors')
009.314  000.281  000.281: require('packer.util')
009.347  001.268  000.987: require('packer')
009.651  000.303  000.303: require('packer.log')
010.268  000.247  000.247: require('packer.async')
010.754  000.188  000.188: require('packer.result')
010.759  000.488  000.300: require('packer.jobs')
010.764  001.096  000.361: require('packer.plugin_utils')
011.071  000.296  000.296: require('packer.snapshot')
011.420  003.452  000.490: require('packer-config')
013.114  000.198  000.198: require('vim.treesitter.language')
013.127  000.763  000.565: require('vim.treesitter.query')
015.670  000.464  000.464: require('vim.treesitter.languagetree')
015.739  000.886  000.422: require('vim.treesitter')
015.864  001.907  001.021: require('nvim-treesitter.parsers')
016.140  000.274  000.274: require('nvim-treesitter.utils')
016.147  002.699  000.518: require('nvim-treesitter.ts_utils')
016.155  003.026  000.327: require('nvim-treesitter.tsrange')
016.325  000.168  000.168: require('nvim-treesitter.caching')
016.335  004.405  000.447: require('nvim-treesitter.query')
016.350  004.873  000.468: require('nvim-treesitter.configs')
016.367  004.944  000.071: require('treesitter-config')
016.787  000.135  000.135: require('mason-core.path')
016.800  000.280  000.145: require('mason.settings')
017.370  000.270  000.270: require('mason-core.functional')
017.692  000.120  000.120: require('mason-core.functional.data')
017.697  000.311  000.191: require('mason-core.functional.function')
017.843  000.132  000.132: require('mason-core.functional.relation')
018.024  000.172  000.172: require('mason-core.functional.logic')
018.059  001.257  000.372: require('mason-core.platform')
018.061  001.663  000.126: require('mason')
018.615  000.281  000.281: require('mason-core.functional.list')
018.879  000.256  000.256: require('mason-core.functional.string')
018.905  000.830  000.294: require('mason.api.command')
019.426  000.274  000.274: require('mason-core.log')
019.430  000.506  000.233: require('mason-lspconfig')
019.588  000.157  000.157: require('mason-lspconfig.settings')
019.851  000.261  000.261: require('mason-lspconfig.lspconfig_hook')
023.062  000.402  000.402: require('vim.lsp.log')
024.159  000.008  000.008: require('vim.F')
024.164  001.096  001.089: require('vim.lsp.protocol')
028.080  000.785  000.785: require('vim.lsp._snippet')
029.035  000.948  000.948: require('vim.highlight')
029.060  004.895  003.161: require('vim.lsp.util')
029.087  007.119  000.726: require('vim.lsp.handlers')
029.738  000.648  000.648: require('vim.lsp.rpc')
030.183  000.442  000.442: require('vim.lsp.sync')
031.021  000.810  000.810: require('vim.lsp.buf')
031.371  000.348  000.348: require('vim.lsp.diagnostic')
031.763  000.389  000.389: require('vim.lsp.codelens')
031.887  011.386  001.631: require('vim.lsp')
031.944  012.090  000.704: require('lspconfig.util')
032.410  000.196  000.196: require('mason-core.functional.table')
032.531  000.585  000.389: require('mason-lspconfig.mappings.server')
033.264  000.293  000.293: require('mason-core.async')
033.384  000.114  000.114: require('mason-core.async.uv')
033.394  000.627  000.220: require('mason-core.fs')
033.560  000.164  000.164: require('mason-core.optional')
033.704  000.142  000.142: require('mason-core.EventEmitter')
034.101  000.395  000.395: require('mason-registry.index')
034.132  001.598  000.270: require('mason-registry')
